Epoch: [0][570/938]	Time 0.373 (0.633)	Data 0.004 (0.113)	Loss 19.2458 (18.0339)	
Epoch: [0][580/938]	Time 1.254 (0.631)	Data 0.019 (0.111)	Loss 19.0323 (18.0491)	
Epoch: [0][590/938]	Time 0.574 (0.629)	Data 0.039 (0.109)	Loss 18.8490 (18.0669)	
Epoch: [0][600/938]	Time 0.446 (0.628)	Data 0.035 (0.108)	Loss 19.1304 (18.0817)	
Epoch: [0][610/938]	Time 0.414 (0.626)	Data 0.006 (0.107)	Loss 19.0392 (18.0956)	
Epoch: [0][620/938]	Time 0.914 (0.624)	Data 0.014 (0.105)	Loss 19.1676 (18.1097)	
Epoch: [0][630/938]	Time 0.382 (0.622)	Data 0.008 (0.104)	Loss 18.4572 (18.1228)	
Epoch: [0][640/938]	Time 0.449 (0.621)	Data 0.001 (0.103)	Loss 19.1601 (18.1375)	
Epoch: [0][650/938]	Time 0.493 (0.619)	Data 0.019 (0.102)	Loss 19.2968 (18.1514)	
Epoch: [0][660/938]	Time 0.410 (0.618)	Data 0.013 (0.100)	Loss 19.2191 (18.1658)	
Epoch: [0][670/938]	Time 0.442 (0.616)	Data 0.027 (0.099)	Loss 18.8313 (18.1769)	
Epoch: [0][680/938]	Time 0.519 (0.618)	Data 0.109 (0.102)	Loss 18.9224 (18.1899)	
Epoch: [0][690/938]	Time 0.694 (0.619)	Data 0.017 (0.101)	Loss 19.2956 (18.2038)	
Epoch: [0][700/938]	Time 0.405 (0.618)	Data 0.049 (0.100)	Loss 18.8068 (18.2161)	
Epoch: [0][710/938]	Time 0.573 (0.619)	Data 0.109 (0.099)	Loss 19.1877 (18.2269)	
Epoch: [0][720/938]	Time 0.521 (0.618)	Data 0.013 (0.098)	Loss 19.1882 (18.2386)	
Epoch: [0][730/938]	Time 0.378 (0.616)	Data 0.005 (0.097)	Loss 19.6555 (18.2505)	
Epoch: [0][740/938]	Time 0.418 (0.614)	Data 0.013 (0.096)	Loss 18.8990 (18.2629)	
Epoch: [0][750/938]	Time 0.486 (0.615)	Data 0.017 (0.096)	Loss 18.9427 (18.2726)	
Epoch: [0][760/938]	Time 0.654 (0.622)	Data 0.038 (0.101)	Loss 18.9189 (18.2847)	
Epoch: [0][770/938]	Time 0.482 (0.620)	Data 0.008 (0.099)	Loss 18.8746 (18.2948)	
Epoch: [0][780/938]	Time 0.406 (0.618)	Data 0.012 (0.099)	Loss 18.6343 (18.3041)	
Epoch: [0][790/938]	Time 0.558 (0.618)	Data 0.019 (0.098)	Loss 18.8153 (18.3143)	
Epoch: [0][800/938]	Time 0.386 (0.616)	Data 0.007 (0.097)	Loss 18.9830 (18.3254)	
Epoch: [0][810/938]	Time 1.747 (0.616)	Data 0.669 (0.097)	Loss 19.1189 (18.3368)	
Epoch: [0][820/938]	Time 0.406 (0.616)	Data 0.012 (0.096)	Loss 19.2225 (18.3479)	
Epoch: [0][830/938]	Time 0.685 (0.616)	Data 0.027 (0.096)	Loss 19.1458 (18.3587)	
Epoch: [0][840/938]	Time 0.446 (0.616)	Data 0.010 (0.095)	Loss 19.3552 (18.3689)	
Epoch: [0][850/938]	Time 0.500 (0.617)	Data 0.077 (0.095)	Loss 19.3232 (18.3797)	
Epoch: [0][860/938]	Time 0.416 (0.616)	Data 0.016 (0.094)	Loss 19.0349 (18.3894)	
Epoch: [0][870/938]	Time 0.497 (0.616)	Data 0.044 (0.094)	Loss 19.2062 (18.3988)	
Epoch: [0][880/938]	Time 0.407 (0.617)	Data 0.016 (0.094)	Loss 18.9603 (18.4081)	
Epoch: [0][890/938]	Time 0.415 (0.617)	Data 0.011 (0.094)	Loss 19.6599 (18.4192)	
Epoch: [0][900/938]	Time 1.178 (0.619)	Data 0.109 (0.093)	Loss 19.3731 (18.4285)	
Epoch: [0][910/938]	Time 0.493 (0.619)	Data 0.035 (0.093)	Loss 18.9278 (18.4393)	
Epoch: [0][920/938]	Time 0.385 (0.618)	Data 0.010 (0.092)	Loss 19.2879 (18.4480)	
Epoch: [0][930/938]	Time 0.390 (0.618)	Data 0.009 (0.091)	Loss 19.2811 (18.4572)	
Test [32/5000]	Net Time 4.869 (4.869)	Cls Time 0.003 (0.003)	Top1: 53.00
Test [64/5000]	Net Time 0.682 (2.775)	Cls Time 0.001 (0.002)	Top1: 45.00
Test [96/5000]	Net Time 0.582 (2.044)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [128/5000]	Net Time 0.383 (1.629)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [160/5000]	Net Time 0.442 (1.392)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [192/5000]	Net Time 0.408 (1.228)	Cls Time 0.000 (0.001)	Top1: 57.00
Test [224/5000]	Net Time 0.381 (1.107)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [256/5000]	Net Time 0.506 (1.032)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [288/5000]	Net Time 0.425 (0.964)	Cls Time 0.000 (0.001)	Top1: 48.00
Test [320/5000]	Net Time 0.394 (0.907)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [352/5000]	Net Time 0.424 (0.863)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [384/5000]	Net Time 1.111 (0.884)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [416/5000]	Net Time 0.782 (0.876)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [448/5000]	Net Time 0.633 (0.859)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [480/5000]	Net Time 0.507 (0.835)	Cls Time 0.000 (0.001)	Top1: 50.00
Test [512/5000]	Net Time 0.375 (0.806)	Cls Time 0.000 (0.001)	Top1: 50.00
Test [544/5000]	Net Time 0.380 (0.781)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [576/5000]	Net Time 0.753 (0.780)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [608/5000]	Net Time 0.629 (0.772)	Cls Time 0.000 (0.001)	Top1: 50.00
Test [640/5000]	Net Time 0.417 (0.754)	Cls Time 0.000 (0.001)	Top1: 49.00
Test [672/5000]	Net Time 0.511 (0.743)	Cls Time 0.000 (0.001)	Top1: 49.00
Test [704/5000]	Net Time 0.460 (0.730)	Cls Time 0.000 (0.001)	Top1: 48.00
Test [736/5000]	Net Time 0.517 (0.720)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [768/5000]	Net Time 0.442 (0.709)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [800/5000]	Net Time 0.424 (0.697)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [832/5000]	Net Time 0.409 (0.686)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [864/5000]	Net Time 0.424 (0.677)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [896/5000]	Net Time 0.517 (0.671)	Cls Time 0.000 (0.001)	Top1: 49.00
Test [928/5000]	Net Time 0.490 (0.665)	Cls Time 0.000 (0.001)	Top1: 48.00
Test [960/5000]	Net Time 0.405 (0.656)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [992/5000]	Net Time 0.462 (0.650)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1024/5000]	Net Time 0.449 (0.644)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [1056/5000]	Net Time 0.396 (0.636)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [1088/5000]	Net Time 0.458 (0.631)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [1120/5000]	Net Time 0.471 (0.626)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1152/5000]	Net Time 0.449 (0.621)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1184/5000]	Net Time 0.477 (0.617)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1216/5000]	Net Time 0.537 (0.615)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [1248/5000]	Net Time 0.447 (0.611)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [1280/5000]	Net Time 0.686 (0.613)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1312/5000]	Net Time 0.624 (0.613)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1344/5000]	Net Time 0.456 (0.609)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [1376/5000]	Net Time 0.431 (0.605)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [1408/5000]	Net Time 0.448 (0.602)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [1440/5000]	Net Time 0.464 (0.599)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [1472/5000]	Net Time 0.429 (0.595)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [1504/5000]	Net Time 0.754 (0.598)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1536/5000]	Net Time 0.645 (0.599)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1568/5000]	Net Time 0.455 (0.596)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [1600/5000]	Net Time 0.455 (0.594)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [1632/5000]	Net Time 0.431 (0.590)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [1664/5000]	Net Time 0.430 (0.587)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1696/5000]	Net Time 1.132 (0.598)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [1728/5000]	Net Time 0.868 (0.603)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1760/5000]	Net Time 0.457 (0.600)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [1792/5000]	Net Time 0.482 (0.598)	Cls Time 0.000 (0.001)	Top1: 48.00
Test [1824/5000]	Net Time 0.484 (0.596)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1856/5000]	Net Time 0.460 (0.593)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1888/5000]	Net Time 0.394 (0.590)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [1920/5000]	Net Time 0.492 (0.588)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1952/5000]	Net Time 1.255 (0.599)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1984/5000]	Net Time 0.927 (0.605)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [2016/5000]	Net Time 0.513 (0.603)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [2048/5000]	Net Time 1.119 (0.611)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [2080/5000]	Net Time 0.623 (0.611)	Cls Time 0.000 (0.001)	Top1: 48.00
Test [2112/5000]	Net Time 0.391 (0.608)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [2144/5000]	Net Time 0.356 (0.604)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [2176/5000]	Net Time 0.403 (0.601)	Cls Time 0.000 (0.001)	Top1: 47.00
Test [2208/5000]	Net Time 0.817 (0.605)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2240/5000]	Net Time 0.493 (0.603)	Cls Time 0.001 (0.001)	Top1: 46.00
