Test [4608/5000]	Net Time 0.970 (2.627)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [4864/5000]	Net Time 1.478 (2.566)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [5000/5000]	Net Time 1.177 (2.497)	Cls Time 0.001 (0.001)	Top1: 50.00
Epoch: [2][0/118]	Time 3.612 (3.612)	Data 2.473 (2.473)	Loss 10.2522 (10.2522)	
Epoch: [2][10/118]	Time 3.390 (3.551)	Data 0.142 (1.716)	Loss 10.2394 (10.5003)	
Epoch: [2][20/118]	Time 1.999 (3.426)	Data 1.075 (1.550)	Loss 10.4101 (10.4728)	
Epoch: [2][30/118]	Time 1.965 (3.165)	Data 0.669 (1.193)	Loss 10.5005 (10.4919)	
Epoch: [2][40/118]	Time 2.075 (2.987)	Data 0.099 (0.994)	Loss 10.8196 (10.5948)	
Epoch: [2][50/118]	Time 4.618 (3.006)	Data 0.080 (0.997)	Loss 10.8828 (10.7258)	
Epoch: [2][60/118]	Time 1.226 (3.120)	Data 0.126 (0.981)	Loss 10.9915 (10.7914)	
Epoch: [2][70/118]	Time 2.399 (3.117)	Data 0.227 (0.922)	Loss 11.0492 (10.8223)	
Epoch: [2][80/118]	Time 1.257 (3.082)	Data 0.154 (0.879)	Loss 11.0525 (10.8519)	
Epoch: [2][90/118]	Time 1.170 (3.079)	Data 0.093 (0.850)	Loss 10.9862 (10.8805)	
Epoch: [2][100/118]	Time 5.571 (3.118)	Data 1.179 (0.829)	Loss 11.0117 (10.9062)	
Epoch: [2][110/118]	Time 4.730 (3.048)	Data 0.127 (0.794)	Loss 11.1748 (10.9417)	
Test [256/5000]	Net Time 20.766 (20.766)	Cls Time 0.001 (0.001)	Top1: 23.00
Test [512/5000]	Net Time 1.770 (11.268)	Cls Time 0.001 (0.001)	Top1: 30.00
Test [768/5000]	Net Time 1.017 (7.851)	Cls Time 0.001 (0.001)	Top1: 39.00
Test [1024/5000]	Net Time 1.522 (6.269)	Cls Time 0.001 (0.001)	Top1: 37.00
Test [1280/5000]	Net Time 1.588 (5.332)	Cls Time 0.001 (0.001)	Top1: 36.00
Test [1536/5000]	Net Time 1.269 (4.655)	Cls Time 0.001 (0.001)	Top1: 36.00
Test [1792/5000]	Net Time 1.071 (4.143)	Cls Time 0.001 (0.001)	Top1: 41.00
Test [2048/5000]	Net Time 1.516 (3.815)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [2304/5000]	Net Time 3.074 (3.732)	Cls Time 0.000 (0.001)	Top1: 44.00
Test [2560/5000]	Net Time 1.427 (3.502)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [2816/5000]	Net Time 1.047 (3.279)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [3072/5000]	Net Time 0.993 (3.088)	Cls Time 0.000 (0.001)	Top1: 53.00
Test [3328/5000]	Net Time 1.528 (2.968)	Cls Time 0.000 (0.001)	Top1: 55.00
Test [3584/5000]	Net Time 1.610 (2.871)	Cls Time 0.001 (0.001)	Top1: 54.00
Test [3840/5000]	Net Time 1.538 (2.782)	Cls Time 0.001 (0.001)	Top1: 54.00
Test [4096/5000]	Net Time 4.838 (2.911)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [4352/5000]	Net Time 5.663 (3.073)	Cls Time 0.001 (0.001)	Top1: 54.00
Test [4608/5000]	Net Time 2.267 (3.028)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [4864/5000]	Net Time 4.797 (3.121)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [5000/5000]	Net Time 2.963 (3.113)	Cls Time 0.001 (0.001)	Top1: 55.00
Epoch: [3][0/118]	Time 26.490 (26.490)	Data 21.620 (21.620)	Loss 10.5214 (10.5214)	
Epoch: [3][10/118]	Time 1.564 (4.792)	Data 0.294 (2.457)	Loss 10.2726 (10.3339)	
Epoch: [3][20/118]	Time 1.246 (3.726)	Data 0.420 (1.735)	Loss 10.2954 (10.3452)	
Epoch: [3][30/118]	Time 4.701 (3.455)	Data 0.015 (1.324)	Loss 10.3454 (10.3642)	
Epoch: [3][40/118]	Time 2.108 (3.166)	Data 0.085 (1.112)	Loss 10.4337 (10.3703)	
Epoch: [3][50/118]	Time 2.913 (3.059)	Data 1.224 (1.040)	Loss 10.3634 (10.3722)	
Epoch: [3][60/118]	Time 0.837 (3.040)	Data 0.097 (1.032)	Loss 10.7623 (10.3810)	
Epoch: [3][70/118]	Time 1.020 (3.056)	Data 0.053 (1.063)	Loss 10.4070 (10.3926)	
Epoch: [3][80/118]	Time 5.627 (3.177)	Data 0.953 (1.018)	Loss 10.4437 (10.4027)	
Epoch: [3][90/118]	Time 2.797 (3.195)	Data 1.332 (0.987)	Loss 10.5004 (10.4122)	
Epoch: [3][100/118]	Time 5.346 (3.153)	Data 0.495 (0.946)	Loss 10.5778 (10.4275)	
Epoch: [3][110/118]	Time 0.960 (3.152)	Data 0.019 (0.927)	Loss 10.5595 (10.4480)	
Test [256/5000]	Net Time 6.497 (6.497)	Cls Time 0.001 (0.001)	Top1: 68.00
Test [512/5000]	Net Time 1.253 (3.875)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [768/5000]	Net Time 0.746 (2.832)	Cls Time 0.000 (0.001)	Top1: 38.00
Test [1024/5000]	Net Time 1.326 (2.456)	Cls Time 0.000 (0.001)	Top1: 43.00
Test [1280/5000]	Net Time 1.585 (2.282)	Cls Time 0.000 (0.001)	Top1: 42.00
Test [1536/5000]	Net Time 1.504 (2.152)	Cls Time 0.001 (0.001)	Top1: 40.00
Test [1792/5000]	Net Time 1.435 (2.050)	Cls Time 0.001 (0.001)	Top1: 41.00
Test [2048/5000]	Net Time 1.602 (1.994)	Cls Time 0.001 (0.001)	Top1: 37.00
Test [2304/5000]	Net Time 12.734 (3.187)	Cls Time 0.001 (0.001)	Top1: 38.00
Test [2560/5000]	Net Time 2.218 (3.090)	Cls Time 0.001 (0.001)	Top1: 35.00
Test [2816/5000]	Net Time 0.891 (2.890)	Cls Time 0.001 (0.001)	Top1: 38.00
Test [3072/5000]	Net Time 1.005 (2.733)	Cls Time 0.001 (0.001)	Top1: 39.00
Test [3328/5000]	Net Time 4.851 (2.896)	Cls Time 0.001 (0.001)	Top1: 41.00
Test [3584/5000]	Net Time 2.014 (2.833)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [3840/5000]	Net Time 1.568 (2.749)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [4096/5000]	Net Time 1.742 (2.686)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [4352/5000]	Net Time 5.110 (2.828)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [4608/5000]	Net Time 5.814 (2.994)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [4864/5000]	Net Time 2.304 (2.958)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [5000/5000]	Net Time 0.883 (2.854)	Cls Time 0.001 (0.001)	Top1: 49.00
Epoch: [4][0/118]	Time 5.312 (5.312)	Data 4.177 (4.177)	Loss 10.3287 (10.3287)	
Epoch: [4][10/118]	Time 1.570 (5.145)	Data 0.803 (2.614)	Loss 10.2956 (10.3247)	
Epoch: [4][20/118]	Time 1.415 (4.119)	Data 0.003 (1.617)	Loss 10.2989 (10.3196)	
Epoch: [4][30/118]	Time 2.224 (3.548)	Data 0.224 (1.238)	Loss 10.3047 (10.3159)	
Epoch: [4][40/118]	Time 0.998 (3.395)	Data 0.250 (1.104)	Loss 10.3415 (10.3179)	
Epoch: [4][50/118]	Time 1.854 (3.145)	Data 0.834 (1.069)	Loss 10.3755 (10.3245)	
Epoch: [4][60/118]	Time 4.463 (3.214)	Data 0.181 (1.090)	Loss 10.3343 (10.3281)	
Epoch: [4][70/118]	Time 4.079 (3.203)	Data 0.377 (1.020)	Loss 10.3818 (10.3326)	
Epoch: [4][80/118]	Time 6.248 (3.116)	Data 0.935 (0.955)	Loss 10.3535 (10.3344)	
Epoch: [4][90/118]	Time 6.627 (3.041)	Data 1.346 (0.902)	Loss 10.3502 (10.3375)	
Epoch: [4][100/118]	Time 6.369 (3.089)	Data 1.245 (0.898)	Loss 10.3535 (10.3411)	
Epoch: [4][110/118]	Time 2.777 (3.068)	Data 0.632 (0.872)	Loss 10.3609 (10.3437)	
Test [256/5000]	Net Time 2.360 (2.360)	Cls Time 0.001 (0.001)	Top1: 13.00
Test [512/5000]	Net Time 3.244 (2.802)	Cls Time 0.001 (0.001)	Top1: 6.00
Test [768/5000]	Net Time 1.023 (2.209)	Cls Time 0.001 (0.001)	Top1: 30.00
Test [1024/5000]	Net Time 1.585 (2.053)	Cls Time 0.001 (0.001)	Top1: 29.00
Test [1280/5000]	Net Time 1.279 (1.898)	Cls Time 0.001 (0.001)	Top1: 32.00
Test [1536/5000]	Net Time 1.610 (1.850)	Cls Time 0.001 (0.001)	Top1: 33.00
Test [1792/5000]	Net Time 14.456 (3.651)	Cls Time 0.001 (0.001)	Top1: 41.00
Test [2048/5000]	Net Time 1.991 (3.443)	Cls Time 0.001 (0.001)	Top1: 40.00
Test [2304/5000]	Net Time 0.832 (3.153)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2560/5000]	Net Time 1.508 (2.989)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2816/5000]	Net Time 1.767 (2.878)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [3072/5000]	Net Time 1.720 (2.781)	Cls Time 0.001 (0.001)	Top1: 43.00
Test [3328/5000]	Net Time 0.997 (2.644)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [3584/5000]	Net Time 4.822 (2.800)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [3840/5000]	Net Time 2.500 (2.780)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [4096/5000]	Net Time 5.260 (2.935)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [4352/5000]	Net Time 1.945 (2.876)	Cls Time 0.000 (0.001)	Top1: 50.00
Test [4608/5000]	Net Time 0.977 (2.771)	Cls Time 0.000 (0.001)	Top1: 50.00
Test [4864/5000]	Net Time 1.320 (2.695)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [5000/5000]	Net Time 1.082 (2.614)	Cls Time 0.001 (0.001)	Top1: 50.00
Epoch: [5][0/118]	Time 19.281 (19.281)	Data 14.351 (14.351)	Loss 10.3111 (10.3111)	
Epoch: [5][10/118]	Time 0.932 (3.579)	Data 0.094 (1.671)	Loss 10.3103 (10.3077)	
Epoch: [5][20/118]	Time 0.750 (2.926)	Data 0.085 (1.058)	Loss 10.3084 (10.3085)	
Epoch: [5][30/118]	Time 2.222 (2.816)	Data 0.146 (0.873)	Loss 10.3111 (10.3077)	
Epoch: [5][40/118]	Time 3.727 (2.781)	Data 1.492 (0.797)	Loss 10.3121 (10.3092)	
Epoch: [5][50/118]	Time 1.273 (2.735)	Data 0.006 (0.760)	Loss 10.3170 (10.3118)	
Epoch: [5][60/118]	Time 8.644 (2.876)	Data 7.322 (0.854)	Loss 10.3163 (10.3121)	
Epoch: [5][70/118]	Time 2.416 (2.954)	Data 1.316 (0.889)	Loss 10.3180 (10.3130)	
Epoch: [5][80/118]	Time 1.026 (3.031)	Data 0.264 (0.932)	Loss 10.3180 (10.3137)	
Epoch: [5][90/118]	Time 5.037 (3.125)	Data 1.064 (0.960)	Loss 10.3184 (10.3144)	
Epoch: [5][100/118]	Time 3.059 (3.072)	Data 0.766 (0.918)	Loss 10.3184 (10.3151)	
Epoch: [5][110/118]	Time 1.135 (3.028)	Data 0.154 (0.889)	Loss 10.3192 (10.3161)	
Test [256/5000]	Net Time 6.522 (6.522)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [512/5000]	Net Time 1.157 (3.839)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [768/5000]	Net Time 1.120 (2.933)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [1024/5000]	Net Time 0.926 (2.431)	Cls Time 0.000 (0.001)	Top1: 54.00
Test [1280/5000]	Net Time 1.095 (2.164)	Cls Time 0.001 (0.001)	Top1: 63.00
Test [1536/5000]	Net Time 0.877 (1.950)	Cls Time 0.001 (0.001)	Top1: 56.00
Test [1792/5000]	Net Time 1.313 (1.859)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [2048/5000]	Net Time 0.824 (1.729)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [2304/5000]	Net Time 0.976 (1.646)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [2560/5000]	Net Time 1.502 (1.631)	Cls Time 0.001 (0.001)	Top1: 62.00
Test [2816/5000]	Net Time 9.292 (2.328)	Cls Time 0.001 (0.001)	Top1: 62.00
Test [3072/5000]	Net Time 2.042 (2.304)	Cls Time 0.001 (0.001)	Top1: 62.00
Test [3328/5000]	Net Time 0.902 (2.196)	Cls Time 0.001 (0.001)	Top1: 59.00
Test [3584/5000]	Net Time 1.487 (2.145)	Cls Time 0.001 (0.001)	Top1: 60.00
Test [3840/5000]	Net Time 1.741 (2.118)	Cls Time 0.001 (0.001)	Top1: 60.00
Test [4096/5000]	Net Time 4.984 (2.298)	Cls Time 0.001 (0.001)	Top1: 60.00
Test [4352/5000]	Net Time 2.332 (2.300)	Cls Time 0.001 (0.001)	Top1: 60.00
Test [4608/5000]	Net Time 1.478 (2.254)	Cls Time 0.001 (0.001)	Top1: 61.00
Test [4864/5000]	Net Time 4.810 (2.389)	Cls Time 0.001 (0.001)	Top1: 61.00
Test [5000/5000]	Net Time 1.945 (2.366)	Cls Time 0.001 (0.001)	Top1: 60.00
Epoch: [6][0/118]	Time 4.130 (4.130)	Data 2.755 (2.755)	Loss 10.3084 (10.3084)	
Epoch: [6][10/118]	Time 2.152 (3.616)	Data 0.070 (2.171)	Loss 10.3085 (10.3061)	
Epoch: [6][20/118]	Time 1.846 (3.255)	Data 0.310 (1.414)	Loss 10.3118 (10.3079)	
Epoch: [6][30/118]	Time 1.889 (3.544)	Data 1.041 (1.347)	Loss 10.3089 (10.3084)	
Epoch: [6][40/118]	Time 5.858 (3.745)	Data 1.118 (1.209)	Loss 10.3087 (10.3087)	
Epoch: [6][50/118]	Time 5.129 (3.529)	Data 0.407 (1.074)	Loss 10.3093 (10.3082)	
Epoch: [6][60/118]	Time 0.832 (3.267)	Data 0.170 (0.972)	Loss 10.3096 (10.3083)	
Epoch: [6][70/118]	Time 1.263 (3.321)	Data 0.241 (1.014)	Loss 10.3124 (10.3086)	
Epoch: [6][80/118]	Time 1.959 (3.310)	Data 1.003 (0.981)	Loss 10.3104 (10.3089)	
Epoch: [6][90/118]	Time 2.501 (3.170)	Data 0.324 (0.914)	Loss 10.3103 (10.3090)	
Epoch: [6][100/118]	Time 9.552 (3.217)	Data 5.054 (0.924)	Loss 10.3133 (10.3092)	
Epoch: [6][110/118]	Time 2.183 (3.257)	Data 1.112 (0.918)	Loss 10.3115 (10.3094)	
Test [256/5000]	Net Time 23.494 (23.494)	Cls Time 0.001 (0.001)	Top1: 38.00
Test [512/5000]	Net Time 2.219 (12.857)	Cls Time 0.001 (0.001)	Top1: 43.00
Test [768/5000]	Net Time 1.423 (9.045)	Cls Time 0.001 (0.001)	Top1: 39.00
Test [1024/5000]	Net Time 1.016 (7.038)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1280/5000]	Net Time 1.084 (5.847)	Cls Time 0.002 (0.001)	Top1: 47.00
Test [1536/5000]	Net Time 4.872 (5.685)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [1792/5000]	Net Time 2.569 (5.239)	Cls Time 0.001 (0.001)	Top1: 53.00
Test [2048/5000]	Net Time 1.289 (4.746)	Cls Time 0.000 (0.001)	Top1: 53.00
Test [2304/5000]	Net Time 1.558 (4.391)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [2560/5000]	Net Time 4.856 (4.438)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [2816/5000]	Net Time 5.574 (4.541)	Cls Time 0.001 (0.001)	Top1: 52.00
Test [3072/5000]	Net Time 2.431 (4.365)	Cls Time 0.000 (0.001)	Top1: 52.00
Test [3328/5000]	Net Time 1.142 (4.117)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [3584/5000]	Net Time 0.979 (3.893)	Cls Time 0.000 (0.001)	Top1: 56.00
Test [3840/5000]	Net Time 1.473 (3.732)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [4096/5000]	Net Time 1.590 (3.598)	Cls Time 0.001 (0.001)	Top1: 53.00
Test [4352/5000]	Net Time 1.121 (3.452)	Cls Time 0.000 (0.001)	Top1: 53.00
Test [4608/5000]	Net Time 0.928 (3.312)	Cls Time 0.001 (0.001)	Top1: 55.00
Test [4864/5000]	Net Time 0.871 (3.183)	Cls Time 0.001 (0.001)	Top1: 56.00
Test [5000/5000]	Net Time 0.894 (3.069)	Cls Time 0.001 (0.001)	Top1: 56.00
Epoch: [7][0/118]	Time 12.060 (12.060)	Data 8.877 (8.877)	Loss 10.3071 (10.3071)	
Epoch: [7][10/118]	Time 0.804 (2.979)	Data 0.107 (1.361)	Loss 10.3101 (10.3080)	
Epoch: [7][20/118]	Time 4.908 (3.188)	Data 0.066 (1.183)	Loss 10.3076 (10.3079)	
Epoch: [7][30/118]	Time 1.167 (3.134)	Data 0.013 (1.011)	Loss 10.3079 (10.3078)	
Epoch: [7][40/118]	Time 0.935 (2.902)	Data 0.085 (0.861)	Loss 10.3082 (10.3079)	
Epoch: [7][50/118]	Time 6.772 (3.003)	Data 1.967 (0.951)	Loss 10.3078 (10.3079)	
Epoch: [7][60/118]	Time 1.345 (2.926)	Data 0.160 (0.891)	Loss 10.3082 (10.3074)	
Epoch: [7][70/118]	Time 4.881 (3.022)	Data 0.171 (0.909)	Loss 10.3086 (10.3072)	
Epoch: [7][80/118]	Time 1.435 (3.034)	Data 0.838 (0.882)	Loss 10.3075 (10.3074)	
Epoch: [7][90/118]	Time 1.347 (2.913)	Data 0.334 (0.825)	Loss 10.3084 (10.3075)	
Epoch: [7][100/118]	Time 4.075 (2.826)	Data 0.111 (0.780)	Loss 10.3101 (10.3076)	
Epoch: [7][110/118]	Time 6.142 (2.961)	Data 1.336 (0.879)	Loss 10.3094 (10.3078)	
Test [256/5000]	Net Time 24.876 (24.876)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [512/5000]	Net Time 2.553 (13.714)	Cls Time 0.001 (0.001)	Top1: 52.00
Test [768/5000]	Net Time 1.137 (9.522)	Cls Time 0.001 (0.001)	Top1: 56.00
Test [1024/5000]	Net Time 0.921 (7.372)	Cls Time 0.000 (0.001)	Top1: 53.00
Test [1280/5000]	Net Time 3.617 (6.621)	Cls Time 0.000 (0.001)	Top1: 57.00
Test [1536/5000]	Net Time 1.563 (5.778)	Cls Time 0.001 (0.001)	Top1: 58.00
Test [1792/5000]	Net Time 1.158 (5.118)	Cls Time 0.001 (0.001)	Top1: 61.00
Test [2048/5000]	Net Time 1.860 (4.711)	Cls Time 0.001 (0.001)	Top1: 64.00
Test [2304/5000]	Net Time 1.668 (4.372)	Cls Time 0.001 (0.001)	Top1: 66.00
Test [2560/5000]	Net Time 1.321 (4.067)	Cls Time 0.000 (0.001)	Top1: 67.00
Test [2816/5000]	Net Time 0.952 (3.784)	Cls Time 0.000 (0.001)	Top1: 66.00
Test [3072/5000]	Net Time 1.763 (3.616)	Cls Time 0.000 (0.001)	Top1: 65.00
Test [3328/5000]	Net Time 1.421 (3.447)	Cls Time 0.001 (0.001)	Top1: 64.00
Test [3584/5000]	Net Time 5.060 (3.562)	Cls Time 0.001 (0.001)	Top1: 63.00
Test [3840/5000]	Net Time 6.317 (3.746)	Cls Time 0.001 (0.001)	Top1: 63.00
Test [4096/5000]	Net Time 2.074 (3.641)	Cls Time 0.000 (0.001)	Top1: 62.00
Test [4352/5000]	Net Time 1.519 (3.516)	Cls Time 0.001 (0.001)	Top1: 62.00
Test [4608/5000]	Net Time 1.494 (3.404)	Cls Time 0.000 (0.001)	Top1: 62.00
Test [4864/5000]	Net Time 5.420 (3.510)	Cls Time 0.001 (0.001)	Top1: 61.00
Test [5000/5000]	Net Time 4.035 (3.536)	Cls Time 0.001 (0.001)	Top1: 60.00
Epoch: [8][0/118]	Time 10.135 (10.135)	Data 7.985 (7.985)	Loss 10.3081 (10.3081)	
Epoch: [8][10/118]	Time 6.464 (4.599)	Data 1.563 (1.961)	Loss 10.3075 (10.3079)	
Epoch: [8][20/118]	Time 4.817 (3.791)	Data 0.093 (1.297)	Loss 10.3080 (10.3059)	
Epoch: [8][30/118]	Time 2.110 (3.630)	Data 1.274 (1.153)	Loss 10.3074 (10.3064)	
Epoch: [8][40/118]	Time 2.368 (3.707)	Data 1.385 (1.204)	Loss 10.3081 (10.3068)	
Epoch: [8][50/118]	Time 4.212 (3.867)	Data 1.020 (1.209)	Loss 10.3080 (10.3070)	
Epoch: [8][60/118]	Time 4.926 (3.688)	Data 1.822 (1.111)	Loss 10.3081 (10.3072)	
Epoch: [8][70/118]	Time 4.807 (3.505)	Data 0.477 (1.021)	Loss 10.3076 (10.3073)	
Epoch: [8][80/118]	Time 4.774 (3.549)	Data 1.531 (1.053)	Loss 10.3079 (10.3074)	
Epoch: [8][90/118]	Time 2.690 (3.386)	Data 0.625 (0.988)	Loss 10.3081 (10.3074)	
Epoch: [8][100/118]	Time 0.759 (3.363)	Data 0.144 (0.963)	Loss 10.3076 (10.3075)	
